da_AVE,da_STD,dm_AVE,dm_STD,Temperature_AVE,Temperature_STD,Pressure_AVE,Pressure_STD,MeanFreePath_AVE,MeanFreePath_STD,Viscosity_AVE,Viscosity_STD,Dm_AVE,Dm_STD,rhoEff_AVE,rhoEff_STD,ABS_CRS_AVE,ABS_CRS_STD,SCA_CRS_AVE,SCA_CRS_STD,SSA_AVE,SSA_STD,ABS_Eff_AVE,ABS_Eff_STD,SCA_Eff_AVE,SCA_Eff_STD
50,2,97.65232359120998,4.259048002737415,298,1,93900,1,7.16444094837058e-08,3.0325972210852587e-10,1.836426752526647e-05,4.713984396285786e-08,2.8,0.01,450,1,0.000802674653047503,8.55079037859758e-05,1.4267663094547062e-05,1.096174202805434e-06,0.0176558620176943,0.002292488515911838,0.10780967835571448,0.015040091444183695,0.0019157773636253935,0.00022280043709181494
60,2,118.50428789730093,4.233019734902766,298,1,93900,1,7.165362159426551e-08,3.1048622385857204e-10,1.8365698255402186e-05,4.825529891455748e-08,2.8,0.01,450,1,0.0015654311652765214,0.00017862299725714993,4.4828089942143026e-05,2.122070806887447e-06,0.028183065136380674,0.003409798332975973,0.14252030968808974,0.019523681793232033,0.004079888567827126,0.0003498437580860298
70,2,139.09635617882455,4.067827830379357,298,1,93900,1,7.165241388265657e-08,3.009865081226601e-10,1.836551074018488e-05,4.677464212690498e-08,2.8,0.01,450,1,0.002350163746209548,0.00037563552987870215,9.281438823831514e-05,1.2708158310675701e-05,0.038369013813201264,0.004516515493923944,0.15504061678493655,0.026277976006042827,0.0061243349265450745,0.0009184513723422299
100,2,199.61995765770044,4.096728182625552,298,1,93900,1,7.16474170578118e-08,3.0483462529116276e-10,1.8364734079281532e-05,4.737357319720827e-08,2.8,0.01,450,1,0.007504886053965933,0.0007770228593962867,0.000540475996319901,2.0851554683499887e-05,0.06777081790665354,0.006685604348026873,0.24007838407840112,0.0265236895326376,0.0172906423788808,0.0009640112243989851
125,2,249.1160818200364,4.230103632454062,298,1,93900,1,7.16372980452101e-08,3.1021003986100117e-10,1.836315779169002e-05,4.8224724335255893e-08,2.8,0.01,450,1,0.015041940880972672,0.0015593524946559256,0.0016344023668773669,7.127434409218429e-05,0.09881292448901875,0.009638083307246501,0.30889653056056265,0.03392466650768782,0.03356108581495207,0.0018502008710273583
150,2,298.42151088388914,4.600657284703279,298,1,93900,1,7.163481372427323e-08,3.068197161529045e-10,1.836277355403476e-05,4.769557101125199e-08,2.8,0.01,450,1,0.02349362682787618,0.00248964649159151,0.003544331354156941,0.0001534935733509908,0.13211821552396877,0.012457147384593562,0.33613572552630505,0.03716786407366799,0.05070979836812414,0.0026970126258319045
250,2,495.80555100841934,6.564186620173253,298,1,93900,1,7.164232873399697e-08,3.058065861820464e-10,1.836394472943362e-05,4.753098902260742e-08,2.8,0.01,450,1,0.13372936195626275,0.016092067879559566,0.037358238441161984,0.0025793837596796623,0.21987570169695628,0.020615632801618097,0.6929764956581621,0.08523900371897153,0.1936026304153181,0.01437505131055923
300,2,595.8187624779265,7.860368282908519,298,1,93900,1,7.164087990478296e-08,2.990143061234838e-10,1.836372182363253e-05,4.648373932771266e-08,2.8,0.01,450,1,0.2762418302944111,0.038097539595497124,0.08907064359822578,0.009265366333838582,0.24551328304930276,0.02600156947317864,0.9912082590736961,0.1385890007792131,0.3196165816405707,0.03420867925491742
350,2,697.6837932888694,9.491826352343363,298,1,93900,1,7.162727334235929e-08,3.063124633404939e-10,1.836160508468725e-05,4.761468886056294e-08,2.8,0.01,450,1,0.49613358220439624,0.06647759642631074,0.17763631291112975,0.020891348142480105,0.2650929965967834,0.029187560440747218,1.2983816360769367,0.1769904783654622,0.4648370523259013,0.05554692925163105
450,2,905.3431211648472,13.022776948168692,298,1,93900,1,7.166069720649756e-08,3.070610080580361e-10,1.8366799478744105e-05,4.772916195614803e-08,2.8,0.01,450,1,1.0093487008318665,0.17275233992659567,0.3991553350629583,0.07488060752201621,0.2846810153178325,0.04228540800631407,1.569057277757172,0.27337742781808355,0.6205146034611294,0.1182782952904775
500,2,1010.1635052401576,14.99149365957797,298,1,93900,1,7.163840587695437e-08,2.9933393912723255e-10,1.8363334124040352e-05,4.652686282160169e-08,2.8,0.01,450,1,1.5831334900270717,0.36063934111554696,0.6058256304212948,0.16863319908113977,0.2778781040383117,0.05746919009262963,1.9766121781305828,0.45450377554111576,0.7564695044718768,0.2118745115629241
550,2,1116.7755828362187,16.56056157791535,298,1,93900,1,7.164200526933251e-08,3.124964891692511e-10,1.8363892196645397e-05,4.85746382029879e-08,2.8,0.01,450,1,1.7311222234305856,0.40706451555298295,0.6996435731979734,0.17114651915386128,0.2895171557329798,0.04604364650377647,1.7682877936790269,0.41905205910857873,0.7146191341860064,0.17575676737101048
