dm,ABS_TMatrix,SCA_TMatrix,ABS_RDG,SCA_RDG,NumberOfCalcs,dp_median,Np_Ave,dp_Ave,D_TEM,dp_100nm,RealErrorABS,RealErrorSCA,AbsoluteErrorABS,AbsoluteErrorSCA,RealPercentErrorABS,AbsolutePercentErrorABS,RatioABS,RealPercentErrorSCA,AbsolutePercentErrorSCA,RatioSCA,SSA_TMatrix,SSA_RDG,MAC_TMatrix,MSC_TMatrix,MAC_RDG,MSC_RDG,Agg_Mass_gr
50.0,0.0,0.0,0.0,0.0,0.0,11.594,0.0,0.0,0.7499999999999997,19.499104920641006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.604,0.0,0.0,0.0,0.0,0.0,12.044,0.0,0.0,0.7499999999999997,19.499104920641006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.343,0.0,0.0,0.0,0.0,0.0,12.512,0.0,0.0,0.7499999999999997,19.499104920641006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.225,0.0,0.0,0.0,0.0,0.0,12.997,0.0,0.0,0.7499999999999997,19.499104920641006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.258,0.0,0.0,0.0,0.0,0.0,13.502,0.0,0.0,0.7499999999999997,19.499104920641006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.448,0.0,0.0,0.0,0.0,0.0,14.026,0.0,0.0,0.7499999999999997,19.499104920641006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.804,0.0002858619355268354655998571775,0.000001310032413738797882786389865,0.0002620004106398077898359678854,9.817216030591845023194662098E-7,1.0,14.57,33.284,14.570,0.7499999999999997,19.499104920641006,0.0000238615248870276757638892921,3.283108106796133804669236552E-7,0.0000238615248870276757638892921,3.283108106796133804669236552E-7,9.107437972619042146000350350,9.107437972619042146000350350,1.091074379726190421460003504,33.44235368321834615628756818,33.44235368321834615628756818,1.334423536832183461562875682,0.004561839455060908146429251211,0.003733035376534834295596408610,2.946259757641906407457109168,0.01350195777094911955730724109,2.700328971505391176964802835,0.01011819515938822955892379552,9.702536742911981489662822862E-17
71.335,0.0003247515568326663866410580246,0.000001914245948631972380364501896,0.0003020067171677131410192085094,0.000001296157105780812109468629378,1.0,15.135,34.228,15.135,0.7499999999999997,19.499104920641006,0.0000227448396649532456218495152,6.18088842851160270895872518E-7,0.0000227448396649532456218495152,6.18088842851160270895872518E-7,7.531236350720759823522506130,7.531236350720759823522506130,1.075312363507207598235225061,47.68625964356536710465064112,47.68625964356536710465064112,1.476862596435653671046506411,0.005859952074363760430361531765,0.004273474522407732505497633573,2.903697128596449225823618256,0.01711582391992687784426554792,2.700328971505391176964802836,0.01158931369867122749348163629,1.118407128740870111959373923E-16
75.05,0.0003758055056369955961509432891,0.000002828636127225190474062868197,0.0003481470153344323005877319382,0.000001710425945050190199045386132,1.0,15.723,35.194,15.723,0.7499999999999997,19.499104920641006,0.0000276584903025632955632113509,0.000001118210182175000275017482065,0.0000276584903025632955632113509,0.000001118210182175000275017482065,7.944485830503061710982522570,7.944485830503061710982522570,1.079444858305030617109825226,65.37612373169350330384442197,65.37612373169350330384442197,1.653761237316935033038444220,0.007470631449254277974178387984,0.004888922581708993688791185930,2.914856224023606037831053596,0.02193972014051489236179518867,2.700328971505391176964802835,0.01326655846409239256868107039,1.289276303028907561076827774E-16
78.958,0.0004356648632982640816621711979,0.000004042472939695786560148334348,0.0004013158133391771005345177968,0.000002255241158609038493105929291,1.0,16.333,36.191,16.333,0.7499999999999997,19.499104920641006,0.0000343490499590869811276534011,0.000001787231781086748067042405057,0.0000343490499590869811276534011,0.000001787231781086748067042405057,8.559107021794939861859618737,8.559107021794939861859618737,1.085591070217949398618596187,79.24792318835898567962722397,79.24792318835898567962722397,1.792479231883589856796272240,0.009193553544687937092228896115,0.005588213360384620995086248122,2.931453018117072193981752031,0.02720053990586535465921783815,2.700328971505391176964802836,0.01517481453733900610827243418,1.486173786875492469773578109E-16
83.07,0.0005016230301574267473015758000,0.000005537448700348887957426321949,0.0004626288112315698648551352578,0.000002971557331500118407355381322,1.0,16.967,37.216,16.967,0.7499999999999997,19.499104920641006,0.0000389942189258568824464405422,0.000002565891368848769550070940627,0.0000389942189258568824464405422,0.000002565891368848769550070940627,8.428834949135548055148027718,8.428834949135548055148027718,1.084288349491355480551480277,86.34837166521844396888551188,86.34837166521844396888551188,1.863483716652184439688855119,0.01091853354350540680547518560,0.006382205711457878281202349988,2.927935243597270083311448870,0.03232166434678071580467520879,2.700328971505391176964802834,0.01734475276491696369679793768,1.713231299272627277900289994E-16
87.396,0.0005827680425897347529249306632,0.000007475133653470265754800370032,0.0005332812794957537509679430972,0.000003911621505744992341198194064,1.0,17.625,38.272,17.625,0.7499999999999997,19.499104920641006,0.0000494867630939810019569875660,0.000003563512147725273413602175968,0.0000494867630939810019569875660,0.000003563512147725273413602175968,9.279673785056435684475131300,9.279673785056435684475131300,1.092796737850564356844751313,91.10063799607269614263822911,91.10063799607269614263822911,1.911006379960726961426382291,0.01266449821757904784184177900,0.007281595677181294505597248108,2.950910691184461031013457943,0.03785116925429486296201672182,2.700328971505391176964802835,0.01980692982043981521447343026,1.974875228622451050808392914E-16
91.947,0.0006736614649422238555032778318,0.000009583516040125307736891210102,0.0006147260169908602215916200708,0.000005144308868495254556057468603,1.0,18.309,39.355,18.309,0.7499999999999997,19.499104920641006,0.0000589354479513636339116577610,0.000004439207171630053180833741499,0.0000589354479513636339116577610,0.000004439207171630053180833741499,9.587270803968573404068530504,9.587270803968573404068530504,1.095872708039685734040685305,86.29355828178628721208206993,86.29355828178628721208206993,1.862935582817862872120820699,0.01402647118804504864726970524,0.008299008121357408874791561662,2.959216822601632403085245949,0.04209785383529937119730004764,2.700328971505391176964802838,0.02259758964484561636729685657,2.276485655924211632259368965E-16
96.736,0.0007820087413000107020488162956,0.00001196440134982418923801561664,0.0007086488431371309209353695452,0.000006759304311289943466935840898,1.0,19.02,40.468,19.020,0.7499999999999997,19.499104920641006,0.0000733598981628797811134467504,0.000005205097038534245771079775742,0.0000733598981628797811134467504,0.000005205097038534245771079775742,10.35208042365827695177850590,10.35208042365827695177850590,1.103520804236582769517785059,77.00640182511485004607441005,77.00640182511485004607441005,1.770064018251148500460744101,0.01506902526941120489472333227,0.009448179106427177471049913386,2.979869198338973668626563047,0.04559073214403959416446405245,2.700328971505391176964802838,0.02575654421193419045513071529,2.624305596151383999427316047E-16
101.773,0.0009006446353735917620494367779,0.00001585635329700727213806335749,0.0008168761371141587615287068181,0.000008870526416628949732385450150,1.0,19.758,41.614,19.758,0.7499999999999997,19.499104920641006,0.0000837684982594330005207299598,0.000006985826880378322405677907340,0.0000837684982594330005207299598,0.000006985826880378322405677907340,10.25473685097087368260748949,10.25473685097087368260748949,1.102547368509708736826074895,78.75323912324398086734011361,78.75323912324398086734011361,1.787532391232439808673401136,0.01730096693076915747283371392,0.01074243083066143672493178686,2.977240601643797309053832520,0.05241598847727145844923801022,2.700328971505391176964802835,0.02932309855438899458328447536,3.025098592556902755668048770E-16
