ID_TMatrix_V1_Out,TMatrix_ABS_CRS,TMatrix_SCA_CRS,created_at,updated_at,MLink
55,0.0011362890564290877,2.629394033494564e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,55
56,0.0011567598492029797,3.5078204788255695e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,56
57,0.0017379393504862682,5.7392852707567156e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,57
58,0.006103182367185321,0.00011368484973400693,2019-07-16 06:10:03,2019-07-16 06:10:03,58
59,0.0028382554487982785,9.475196718733471e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,59
60,0.0016874107994129188,2.5309919428835957e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,60
61,0.0004461656957922459,5.194699263134277e-06,2019-07-16 06:10:03,2019-07-16 06:10:03,61
62,0.014117925994101546,0.0012234053428019256,2019-07-16 06:10:03,2019-07-16 06:10:03,62
63,0.0043885908025764675,0.00013707349676215873,2019-07-16 06:10:03,2019-07-16 06:10:03,63
64,0.0057290393080011845,0.00015837053785926463,2019-07-16 06:10:03,2019-07-16 06:10:03,64
65,0.004144442217951441,9.284530741379856e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,65
66,0.004077394093462281,0.00013267848469077523,2019-07-16 06:10:03,2019-07-16 06:10:03,66
67,0.0012449678562381614,3.236397560921662e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,67
68,0.0046984066816100544,0.0001766558082059404,2019-07-16 06:10:03,2019-07-16 06:10:03,68
69,0.007385661199482268,0.0002496036833951832,2019-07-16 06:10:03,2019-07-16 06:10:03,69
70,0.0021956567459439844,2.573434699123416e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,70
71,0.02752465677155637,0.0025183332681918227,2019-07-16 06:10:03,2019-07-16 06:10:03,71
72,0.0005687782431215808,1.1774452188357184e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,72
73,0.004519698442478381,8.463256205651762e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,73
74,0.0032858320511624343,6.359056457372091e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,74
