da_AVE,da_STD,dm_AVE,dm_STD,Temperature_AVE,Temperature_STD,Pressure_AVE,Pressure_STD,MeanFreePath_AVE,MeanFreePath_STD,Viscosity_AVE,Viscosity_STD,Dm_AVE,Dm_STD,rhoEff_AVE,rhoEff_STD,ABS_CRS_AVE,ABS_CRS_STD,SCA_CRS_AVE,SCA_CRS_STD,SSA_AVE,SSA_STD,ABS_Eff_AVE,ABS_Eff_STD,SCA_Eff_AVE,SCA_Eff_STD
50,2,67.92056374455198,3.11572301288816,298,1,93900,1,7.163463805476975e-08,3.115685314501442e-10,1.836274565996227e-05,4.843035068496731e-08,2.8,0.01,650,1,0.0008007761192711609,8.328409926701751e-05,1.4294325139140418e-05,1.086223392496349e-06,0.0177213848753153,0.0022673541899849905,0.22246042595025473,0.03135416053277145,0.003969993238930354,0.0004730392931248332
60,2,83.71348891220998,3.2034949145486813,298,1,93900,1,7.164199882700776e-08,3.1048409961302703e-10,1.8363889875166762e-05,4.826193521756704e-08,2.8,0.01,650,1,0.0015644434027731649,0.00017803243176285952,4.4753118571129216e-05,2.1205546776897083e-06,0.028150220318922527,0.0033873393488074734,0.28545109012171,0.03887940289018181,0.008167473853647453,0.0007447812876364826
70,2,99.66525535493065,3.231987712332699,298,1,93900,1,7.163647655076592e-08,3.100412638504646e-10,1.8363031310724447e-05,4.8191530940168284e-08,2.8,0.01,650,1,0.002336311625407565,0.0003742710889111824,9.246350797407883e-05,1.2323648917196943e-05,0.03845897831303686,0.004456622633055379,0.30043964735060624,0.05224167244292223,0.011886744556964092,0.0017469926210244124
100,2,147.44392396153478,3.247042490067419,298,1,93900,1,7.164437949166496e-08,3.081949427547877e-10,1.8364256029564404e-05,4.790384742217765e-08,2.8,0.01,650,1,0.007520745723525434,0.0007649296212193692,0.0005404292855759451,2.0668948643203927e-05,0.0676166563941331,0.006614128630707617,0.4411188229319242,0.049034932448962454,0.03169590693877647,0.0018201145242066872
125,2,187.24069442418204,3.4506478791004627,298,1,93900,1,7.164322875424913e-08,3.1124979145031503e-10,1.836408021382847e-05,4.837862852733673e-08,2.8,0.01,650,1,0.015081518712086694,0.0015785708456193927,0.0016352044467349597,6.985815921453265e-05,0.09864695770267348,0.00971570130108092,0.5481973549963943,0.06024993483443782,0.059450021476717574,0.003421813516379857
150,2,226.95336593780354,3.4524102348535206,298,1,93900,1,7.164696586372332e-08,3.071893616542375e-10,1.8364664763562162e-05,4.7748143902478766e-08,2.8,0.01,650,1,0.023704633149684854,0.002511853145530275,0.0035500352013835878,0.00015390487233180475,0.13128048015834237,0.012380395725863172,0.5863808770362225,0.0647813200837364,0.08781603715519344,0.0046684783035311275
250,2,387.62223770893365,4.847140145160837,298,1,93900,1,7.164963506519841e-08,3.1231072834838566e-10,1.8365073883543585e-05,4.854128813842612e-08,2.8,0.01,650,1,0.133456281825178,0.015331880630764896,0.0373716709061674,0.0026259490989256995,0.22012592295611444,0.019874203833949812,1.1314545768771644,0.1332888645957879,0.3168418345230815,0.023666746434105258
300,2,469.38933860157414,5.824497280052874,298,1,93900,1,7.16413344954447e-08,2.981156546427809e-10,1.8363788625237417e-05,4.6339898117627046e-08,2.8,0.01,650,1,0.2757314970466017,0.03954750172902023,0.0892557264680488,0.009501179730493109,0.24632923829228925,0.02601013458660593,1.5940748774656055,0.23165115920888457,0.5160499143062096,0.05656718558383547
350,2,552.1501736935352,7.009807042507502,298,1,93900,1,7.165494428398591e-08,3.083973777525659e-10,1.8365906886452573e-05,4.793867417667214e-08,2.8,0.01,650,1,0.4993890736021236,0.06815659463813009,0.1782832766775948,0.020650572349409455,0.264657840426047,0.029783265867542527,2.0867018716960613,0.29056549403091664,0.7449054232601393,0.08817051651612158
450,2,720.7425397921812,9.773957599688128,298,1,93900,1,7.164549251923056e-08,3.102495930677075e-10,1.836443556230049e-05,4.822744431170634e-08,2.8,0.01,650,1,1.0080541208447928,0.17529181544006509,0.3994856498878773,0.07253461625761866,0.2853758923640337,0.041681394039726455,2.4722491890896743,0.4359768207036117,0.9797525745007988,0.18029177723337703
500,2,806.5832500563882,11.074968399313489,298,1,93900,1,7.164145481577175e-08,3.0771530932303083e-10,1.8363803934532467e-05,4.7832473966017376e-08,2.8,0.01,650,1,1.5928320815440375,0.363534255607771,0.6125807518333488,0.17435991626040215,0.27852523742227936,0.0588599883796211,3.1194810732646885,0.7189297518724304,1.1997495618475613,0.3440395662855355
550,2,892.8048235144332,12.659190638091099,298,1,93900,1,7.164998542502641e-08,3.073527467301382e-10,1.8365132288974962e-05,4.77731842818481e-08,2.8,0.01,650,1,1.7489976491785533,0.41530950633668695,0.7043556683861268,0.1737499677197505,0.2887030831890428,0.0449883936248424,2.7960148516733754,0.6727008046114629,1.1258581712262195,0.2805443461165345
