da_AVE,da_STD,dm_AVE,dm_STD,Temperature_AVE,Temperature_STD,Pressure_AVE,Pressure_STD,MeanFreePath_AVE,MeanFreePath_STD,Viscosity_AVE,Viscosity_STD,Dm_AVE,Dm_STD,rhoEff_AVE,rhoEff_STD,ABS_CRS_AVE,ABS_CRS_STD,SCA_CRS_AVE,SCA_CRS_STD,SSA_AVE,SSA_STD,ABS_Eff_AVE,ABS_Eff_STD,SCA_Eff_AVE,SCA_Eff_STD
50,2,96.72816738658523,5.974311011364167,298,1,93900,1,7.164106184043977e-08,3.0661182859884137e-10,1.836374293557051e-05,4.766039171000724e-08,2.5,0.01,450,1,0.0008018633608330816,8.426850212142384e-05,1.4283583275777461e-05,1.104658959634652e-06,0.017689556644686657,0.002305384333457325,0.11041702744458251,0.01830924298934517,0.001966379875379691,0.00029175251153266605
60,2,126.12088217858192,5.8923623129057985,298,1,93900,1,7.164803345026683e-08,3.1076420968728944e-10,1.836482637308127e-05,4.8310783106021415e-08,2.5,0.01,450,1,0.0015613896707426858,0.00018273426099593682,4.486494108395735e-05,2.074566115267234e-06,0.028291645287284325,0.00346576242879844,0.12584175309437282,0.019121300262337774,0.0036148555786006385,0.0003794227267855714
70,2,155.8868712433037,5.994673570233041,298,1,93900,1,7.163993587306742e-08,3.0224099835142086e-10,1.83635710533972e-05,4.698381867876066e-08,2.5,0.01,450,1,0.002335518316241717,0.00036739372846939547,9.23280664448592e-05,1.2662044379035792e-05,0.038377787662775165,0.004396639430432587,0.12290344240156838,0.02151465519632293,0.004859530018219097,0.000770211227563666
100,2,245.9886399692934,6.401851556571252,298,1,93900,1,7.164940630464699e-08,3.01798710822381e-10,1.836504272282335e-05,4.690832282586621e-08,2.5,0.01,450,1,0.007533749419949206,0.0007868735649150711,0.0005401874393604492,2.0655801014227517e-05,0.06751511643861254,0.0068011066871052185,0.15883566038067978,0.018455727260592254,0.011390047118949285,0.0007443489625439692
125,2,321.5760667347448,7.214562530962017,298,1,93900,1,7.164151546038358e-08,3.0592044112547586e-10,1.8363815511127158e-05,4.756061705197711e-08,2.5,0.01,450,1,0.015097863571736087,0.0016044921995266787,0.0016339354898553275,7.132797238488532e-05,0.09848850917610222,0.009667342097251026,0.18617334649062442,0.021530548220569136,0.020148637524665468,0.001270860214056632
150,2,398.524217288867,7.857103403597699,298,1,93900,1,7.165403756069537e-08,3.1061575755842095e-10,1.8365763499052234e-05,4.827992539159209e-08,2.5,0.01,450,1,0.023530732358113305,0.002478974238371336,0.0035480532733365017,0.00015099578921097336,0.13203502468354544,0.012227225410915357,0.18886935121489012,0.021343692290535426,0.028477549130186235,0.0016595937781333217
250,2,724.6741748018034,13.010511294475508,298,1,93900,1,7.164797685912238e-08,3.0897042219373063e-10,1.8364812844267124e-05,4.801930112063477e-08,2.5,0.01,450,1,0.13342241533431615,0.015554572683161067,0.037418226430521576,0.0026409008903816333,0.22045249313790036,0.0205659181422069,0.32379018653419933,0.03949862690028806,0.09081252420104792,0.007258759841874603
300,2,900.1311659350179,16.807394934519,298,1,93900,1,7.164730602143567e-08,3.0208005266428917e-10,1.8364717566818995e-05,4.695150703229512e-08,2.5,0.01,450,1,0.2757561951839532,0.03830132783801973,0.08919146774111203,0.009535976896110994,0.24605141465121413,0.026119175100691505,0.4339189842089165,0.06324128787827243,0.14031503129192457,0.015995023996582987
350,2,1082.6211697127487,20.513262498128075,298,1,93900,1,7.165325690432545e-08,3.075913291210622e-10,1.836564523620152e-05,4.78038057612792e-08,2.5,0.01,450,1,0.49460578589254456,0.06629628389008976,0.1777061331286346,0.02045215561596575,0.265822581000474,0.029508798962534798,0.5378016804536647,0.0744991882133345,0.19327526318229993,0.023614618406076027
