dm,ABS_TMatrix,SCA_TMatrix,ABS_RDG,SCA_RDG,NumberOfCalcs,dp_median,Np_Ave,dp_Ave,D_TEM,dp_100nm,RealErrorABS,RealErrorSCA,AbsoluteErrorABS,AbsoluteErrorSCA,RealPercentErrorABS,AbsolutePercentErrorABS,RatioABS,RealPercentErrorSCA,AbsolutePercentErrorSCA,RatioSCA,SSA_TMatrix,SSA_RDG,MAC_TMatrix,MSC_TMatrix,MAC_RDG,MSC_RDG,Agg_Mass_gr
50.0,0.0002387747556186608215298277893,0.000002948678021257240009304655735,0.0002004180172490963672783298980,0.000001556989397140443504415049483,1,11.594,28.151,11.594,0.7499999999999997,19.499104920641006,0.0000383567383695644542514978913,0.000001391688624116796504889606252,0.0000383567383695644542514978913,0.000001391688624116796504889606252,19.13836834434474718377703289,19.13836834434474718377703289,1.191383683443447471837770329,89.38330772661411098589913502,89.38330772661411098589913502,1.893833077266141109858991350,0.01219856087949553727267631894,0.007708822111181018548373857531,5.774622077917857841422203016,0.07131198253393777327126538301,4.846987715349189815135208980,0.03765484054005477285175321950,4.134898395026316323492245139E-17
52.604,0.0002731394375493781286925490054,0.000003736049392000815520070283711,0.0002310329113565226610321013396,0.000002051956071273543734505953835,1,12.044,28.948,12.044,0.7499999999999997,19.499104920641006,0.0000421065261928554676604476658,0.000001684093320727271785564329876,0.0000421065261928554676604476658,0.000001684093320727271785564329876,18.22533679103320996158572360,18.22533679103320996158572360,1.182253367910332099615857236,82.07258158709224047933099857,82.07258158709224047933099857,1.820725815870922404793309986,0.01349360838430534332546281116,0.008803471859489925119190757065,5.730367550691585743391803326,0.07838097784700971757212844019,4.846987715349189815135208988,0.04304930328541374299683852334,4.766525622190037653594580590E-17
55.343,0.0003155601978995537128764360588,0.000004748931166345880563576983917,0.0002663266028452314452219526376,0.000002702065045700191813777132344,1,12.512,29.764,12.512,0.7499999999999997,19.499104920641006,0.0000492335950543222676544834212,0.000002046866120645688749799851573,0.0000492335950543222676544834212,0.000002046866120645688749799851573,18.48617243953396933949097340,18.48617243953396933949097340,1.184861724395339693394909734,75.75191884824815589312808082,75.75191884824815589312808082,1.757519188482481558931280808,0.01482608747429377021194720503,0.01004378108431050394456245089,5.743010222531668943639387727,0.08642775741668466381733940977,4.846987715349189815135208982,0.04917599647450230419693282405,5.494682852235051978628071094E-17
58.225,0.0003614942324790826472069855276,0.000006004828999167367299760166887,0.0003069981319365993864177838210,0.000003554561677882130252896933638,1,12.997,30.610,12.997,0.7499999999999997,19.499104920641006,0.0000544961005424832607892017066,0.000002450267321285237046863233249,0.0000544961005424832607892017066,0.000002450267321285237046863233249,17.75128082985784478780929397,17.75128082985784478780929397,1.177512808298578447878092940,68.93303713174415884761819905,68.93303713174415884761819905,1.689330371317441588476181991,0.01633971247440248445108578144,0.01144592125900136115700207269,5.707390116489535268678005682,0.09480621985591616619101649131,4.846987715349189815135208986,0.05612059160576185275097997028,6.333792243054662435702357430E-17
61.258,0.0004192416513318718089161746029,0.000007754043363664467270925675660,0.0003539183627031427739333322671,0.000004672367034081260011301901474,1,13.502,31.475,13.502,0.7499999999999997,19.499104920641006,0.0000653232886287290349828423358,0.000003081676329583207259623774186,0.0000653232886287290349828423358,0.000003081676329583207259623774186,18.45716286937065672612840466,18.45716286937065672612840466,1.184571628693706567261284047,65.95535639869023032662697080,65.95535639869023032662697080,1.659553563986902303266269708,0.01815953523651658125440136036,0.01302980430505043849034774289,5.741604132229577577368233777,0.1061932832219017318891432371,4.846987715349189815135208978,0.06398906641300783062600523600,7.301820914098305260133888509E-17
64.448,0.0004841360421163595324839901697,0.000009591675256278409726170637835,0.0004079750270641607478429971307,0.000006134055291291698800242321118,1,14.026,32.366,14.026,0.7499999999999997,19.499104920641006,0.0000761610150521987846409930390,0.000003457619964986710925928316717,0.0000761610150521987846409930390,0.000003457619964986710925928316717,18.66805809175697878232057128,18.66805809175697878232057128,1.186680580917569787823205713,56.36760349870617595639866526,56.36760349870617595639866526,1.563676034987061759563986653,0.01942705446500009260595812741,0.01481265577755791422808071622,5.751826197750900961909383281,0.1139548478527064736575109256,4.846987715349189815135208983,0.07287625141204480000894515112,8.417083991614143132048446612E-17
67.804,0.0005610242736551732398136159012,0.00001194872902866556467239168302,0.0004702807640061851461830310939,0.000008043352473232160528253450895,1,14.57,33.284,14.570,0.7499999999999997,19.499104920641006,0.0000907435096489880936305848073,0.000003905376555433404144138232125,0.0000907435096489880936305848073,0.000003905376555433404144138232125,19.29560309377115674931955986,19.29560309377115674931955986,1.192956030937711567493195599,48.55408945996442239414124453,48.55408945996442239414124453,1.485540894599644223941412445,0.02085391278942816555537055246,0.01681569504049514681267076802,5.782243226906815993760484561,0.1231505671688849791669943313,4.846987715349189815135208981,0.08289947965523646165205005355,9.702536742911981489662822862E-17
71.335,0.0006426912863394902472256965870,0.00001486804375806784802510081019,0.0005420905613765957229608684288,0.00001053322445887570047380085547,1,15.135,34.228,15.135,0.7499999999999997,19.499104920641006,0.0001006007249628945242648281582,0.00000433481929919214755129995472,0.0001006007249628945242648281582,0.00000433481929919214755129995472,18.55791857128576652246952894,18.55791857128576652246952894,1.185579185712857665224695289,41.15377315005816583385643939,41.15377315005816583385643939,1.411537731500581658338564394,0.02261095398929548520298803129,0.01906038923560137743241385214,5.746487748723916797574905146,0.1329394580559107533489423616,4.846987715349189815135208980,0.09418059120147293945910301050,1.118407128740870111959373923E-16
75.05,0.0007427678221333950647646116120,0.00001812407670095063224302785850,0.0006249106402471934392322866296,0.00001377711269432406348419901738,1,15.723,35.194,15.723,0.7499999999999997,19.499104920641006,0.0001178571818862016255323249824,0.00000434696400662656875882884112,0.0001178571818862016255323249824,0.00000434696400662656875882884112,18.85984559961746283608349275,18.85984559961746283608349275,1.188598455996174628360834928,31.55206829670083285862754694,31.55206829670083285862754694,1.315520682967008328586275469,0.02381951592429352116296106607,0.02157096739505757757387787087,5.761122114696472985778956524,0.1405755822733388323199495081,4.846987715349189815135208980,0.1068592718407790311450620928,1.289276303028907561076827774E-16
78.958,0.0008601811216371936454855051485,0.00002229469846619629579092883891,0.0007203466087859496985465388614,0.00001799182138738874566090102968,1,16.333,36.191,16.333,0.7499999999999997,19.499104920641006,0.0001398345128512439469389662871,0.00000430287707880755013002780923,0.0001398345128512439469389662871,0.00000430287707880755013002780923,19.41211510482665961148997589,19.41211510482665961148997589,1.194121151048266596114899759,23.91573919149522474996802583,23.91573919149522474996802583,1.239157391914952247499680258,0.02526380662031541250392021416,0.02436798716161210337898884465,5.787890549769582507397373034,0.1500140741485442710077397965,4.846987715349189815135208982,0.1210613559886186493807502837,1.486173786875492469773578109E-16
