AA_FileName,AA_Plot,AGG_FRACTAL_DIMENSION_CENTER,AGG_FRACTAL_DIMENSION_STANDARD_DEVIATION,AGG_FRACTAL_PREFACTOR_CENTER,AGG_FRACTAL_PREFACTOR_STANDARD_DEVIATION,AGG_EFF_DM_CENTER,AGG_EFF_DM_STANDARD_DEVIATION,AGG_EFF_RHO_100NM_CENTER,AGG_EFF_RHO_100NM_STANDARD_DEVIATION,AGG_MATERIAL_DENSITY_CENTER,AGG_MATERIAL_DENSITY_STANDARD_DEVIATION,AGG_RI_REAL_CENTER,AGG_RI_REAL_STANDARD_DEVIATION,AGG_RI_IMAG_CENTER,AGG_RI_IMAG_STANDARD_DEVIATION,AGG_WLENGTH_CENTER,AGG_WLENGTH_STANDARD_DEVIATION,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_CENTER,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_STANDARD_DEVIATION,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_MOBILITY_DIAMETER_CENTER_MAX,AGG_MOBILITY_DIAMETER_CENTER_MIN,AGG_AERODYNAMIC_DIAMETER_CENTER,AGG_AERODYNAMIC_DIAMETER_STANDARD_DEVIATION,AGG_PRIMARY_DIAMETER_CENTER,AGG_PRIMARY_DIAMETER_STANDARD_DEVIATION,AGG_PRIMARY_NUMBER_CENTER,AGG_PRIMARY_NUMBER_STANDARD_DEVIATION,AGG_POLYDISPERSITY_SIGMA_WITHIN_CENTER,AGG_POLYDISPERSITY_SIGMA_WITHIN_STANDARD_DEVIATION,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_CENTER,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_STANDARD_DEVIATION,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_CENTER,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_STANDARD_DEVIATION,AIR_TEMPERATURE_CENTER,AIR_TEMPERATURE_STANDARD_DEVIATION,AIR_PRESSURE_CENTER,AIR_PRESSURE_STANDARD_DEVIATION,PAX_ABSORPTION_COEFFICIENT_CENTER,PAX_ABSORPTION_COEFFICIENT_STANDARD_DEVIATION,PAX_SCATTERING_COEFFICIENT_CENTER,PAX_SCATTERING_COEFFICIENT_STANDARD_DEVIATION,PAX_WAVE_LENGTH_CENTER,PAX_WAVE_LENGTH_STANDARD_DEVIATION,CPC_NUMBER_DENSITY_CENTER,CPC_NUMBER_DENSITY_STANDARD_DEVIATION,MONTECARLO_ARRAY_SIZE,MONTECARLO_RANDOM_SIZE,VERSION,MobilityBins,NumberOfSigma,PrimaryBins,FittedSigma,FittedMedian,dp100_nano,D_TEM,R2score,explainedVarianceScore
2019-11-14T060325+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.36,16.5,19.49910492,0,0.75,0.77
2019-11-14T072053+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.47,15,19.49910492,0,0.55,0.57
2019-11-14T082436+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.17,24.1,19.49910492,0.375,0.93,0.93
2019-11-14T091945+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.42,19.9,19.49910492,0.375,0.99,0.99
2019-11-14T104738+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.53,15,19.49910492,0.375,0.9,0.9
2019-11-14T115052+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.34,26.5,19.49910492,0.75,0.81,0.84
2019-11-14T124231+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.52,21.9,19.49910492,0.75,0.99,0.99
2019-11-14T140318+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.6,16.5,19.49910492,0.75,0.9,0.9
2019-11-14T145722+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1,24.1,24.02719152,0,1,1
2019-11-14T150236+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.38,19.9,24.02719152,0,0.72,0.75
2019-11-14T161536+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.53,16.5,24.02719152,0,0.62,0.63
2019-11-14T170841+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.17,29.1,24.02719152,0.375,0.98,0.98
2019-11-14T175555+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.43,24.1,24.02719152,0.375,1,1
2019-11-14T190623+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.59,18.1,24.02719152,0.375,0.9,0.9
2019-11-14T195754+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.36,32,24.02719152,0.75,1,1
2019-11-14T204046+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.53,26.5,24.02719152,0.75,1,1
2019-11-14T214352+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,650,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.65,19.9,24.02719152,0.75,0.9,0.91
