dm,ABS_TMatrix,SCA_TMatrix,ABS_RDG,SCA_RDG,NumberOfCalcs,dp_median,Np_Ave,dp_Ave,D_TEM,dp_100nm,RealErrorABS,RealErrorSCA,AbsoluteErrorABS,AbsoluteErrorSCA,RealPercentErrorABS,AbsolutePercentErrorABS,RatioABS,RealPercentErrorSCA,AbsolutePercentErrorSCA,RatioSCA,SSA_TMatrix,SSA_RDG,MAC_TMatrix,MSC_TMatrix,MAC_RDG,MSC_RDG,Agg_Mass_gr
50.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.604,0.0,0.0,0.0,0.0,0.0,11.925,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.343,0.0,0.0,0.0,0.0,0.0,12.154,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.225,0.0,0.0,0.0,0.0,0.0,12.388,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.258,0.0,0.0,0.0,0.0,0.0,12.626,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.448,0.0,0.0,0.0,0.0,0.0,12.869,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.804,0.0,0.0,0.0,0.0,0.0,13.116,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.335,0.0,0.0,0.0,0.0,0.0,13.368,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.05,0.0,0.0,0.0,0.0,0.0,13.625,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.958,0.0,0.0,0.0,0.0,0.0,13.887,0.0,0.0,0.37499999999999983,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.07,0.0003503341486894473280091893197,0.000002324810669154434894846197765,0.0003186825197502224208389077713,0.000001779805476842058259168934682,1.0,14.154,55.453,14.154,0.37499999999999983,15.173192108690529,0.0000316516289392249071702815484,5.45005192312376635677263083E-7,0.0000316516289392249071702815484,5.45005192312376635677263083E-7,9.932025441506135912236214574,9.932025441506135912236214574,1.099320254415061359122362146,30.62161564304147539683521300,30.62161564304147539683521300,1.306216156430414753968352130,0.006592234813437556450310211271,0.005553868073512142490002409054,2.364006816377695591299313777,0.01568750374243554542114903374,2.150425962665049623058745430,0.01200988340651508096148923334,1.481950670625624391293435848E-16
87.396,0.0004035417628989838461922789666,0.000003264155010785729291388072560,0.0003618036287175124694626303097,0.000002270150636642154981897913365,1.0,14.426,59.462,14.426,0.37499999999999983,15.173192108690529,0.0000417381341814713767296486569,9.94004374143574309490159195E-7,0.0000417381341814713767296486569,9.94004374143574309490159195E-7,11.53612923381138980279328231,11.53612923381138980279328231,1.115361292338113898027932823,43.78583333191645522961413586,43.78583333191645522961413586,1.437858333319164552296141359,0.008023863142300023936669380184,0.006235413713861152246861359451,2.398501880795522415476065161,0.01940092117439033664180530124,2.150425962665049623058745432,0.01349292953611437033501406562,1.682474239983248414445711820E-16
91.947,0.0004607932025888650027037569771,0.000004481491351348429430610278039,0.0004107544110327141804748683916,0.000002892330481667275317253864985,1.0,14.703,63.763,14.703,0.37499999999999983,15.173192108690529,0.0000500387915561508222288885855,0.000001589160869681154113356413054,0.0000500387915561508222288885855,0.000001589160869681154113356413054,12.18216778983428272237614809,12.18216778983428272237614809,1.121821677898342827223761481,54.94395885096391367808603365,54.94395885096391367808603365,1.549439588509639136780860336,0.009631925848785339739636527563,0.006992271886582034801863623921,2.412394461633065096463879297,0.02346198870797032233592411663,2.150425962665049623058745429,0.01514224167367359362992210865,1.910107198127672964093463934E-16
96.736,0.0005250541859026073746760341297,0.000005999729795786664696489640880,0.0004663568786228834625756939111,0.000003681058005223297354327091140,1.0,14.986,68.370,14.986,0.37499999999999983,15.173192108690529,0.0000586973072797239121003402186,0.000002318671790563367342162549740,0.0000586973072797239121003402186,0.000002318671790563367342162549740,12.58634963272175042225062804,12.58634963272175042225062804,1.125863496327217504222506280,62.98927610684890457481855361,62.98927610684890457481855361,1.629892761068489045748185536,0.01129777903604451001847580334,0.007831406187402580604178589912,2.421086092918895262148939357,0.02766545389001932186174164948,2.150425962665049623058745435,0.01697378781649598561009724102,2.168672099014846279915354433E-16
101.773,0.0005985239491274739538473549677,0.000008041115929066571079132875847,0.0005294549932772344043468966698,0.000004678216827035498727557406003,1.0,15.274,73.312,15.274,0.37499999999999983,15.173192108690529,0.0000690689558502395495004582979,0.000003362899102031072351575469844,0.0000690689558502395495004582979,0.000003362899102031072351575469844,13.04529312731847422650149175,13.04529312731847422650149175,1.130452931273184742265014917,71.88420773053566660852009293,71.88420773053566660852009293,1.718842077305356666085200929,0.01325680688240267226592212652,0.008758520793197353546646401780,2.430955332980665480017852133,0.03265966830462936498151401272,2.150425962665049623058745433,0.01900097090701328685995772202,2.462093568760089980549494280E-16
