da_AVE,da_STD,dm_AVE,dm_STD,Temperature_AVE,Temperature_STD,Pressure_AVE,Pressure_STD,MeanFreePath_AVE,MeanFreePath_STD,Viscosity_AVE,Viscosity_STD,Dm_AVE,Dm_STD,rhoEff_AVE,rhoEff_STD,ABS_CRS_AVE,ABS_CRS_STD,SCA_CRS_AVE,SCA_CRS_STD,SSA_AVE,SSA_STD,ABS_Eff_AVE,ABS_Eff_STD,SCA_Eff_AVE,SCA_Eff_STD
50,1,57.076863014695704,2.0401340906318732,298,1,93900,1,7.163829076431742e-08,3.047735168441419e-10,1.836331536761541e-05,4.7378906821080526e-08,2.5,0.01,650,1,0.0008033295903666748,8.229096931331263e-05,1.424737831368307e-05,1.0816432273853584e-06,0.017604055987376258,0.0022341759460077757,0.31515109486407533,0.03932079688691288,0.005589810777525871,0.0005852235207213463
60,1,77.61010303646955,2.114075082306226,298,1,93900,1,7.165111904279689e-08,3.024718985581766e-10,1.8365312693494356e-05,4.7013277834709006e-08,2.5,0.01,650,1,0.0015631497964155605,0.0001833900124223359,4.479957940387961e-05,2.0277082421133577e-06,0.028227196310660452,0.0035058106538684406,0.3311577207918679,0.04290677497151643,0.00949162292674367,0.0006820944403440319
70,1,99.37201789415018,2.2269918522190686,298,1,93900,1,7.165128660187488e-08,3.0167288624559497e-10,1.8365334404541853e-05,4.68837788944306e-08,2.5,0.01,650,1,0.0023336565928573486,0.0003834547741862272,9.216852746040726e-05,1.2531127810807398e-05,0.038395091430759754,0.004529637233676498,0.3013601250157315,0.0514180458239177,0.011903604861135024,0.001716334164615907
100,1,168.08880308810888,2.569308921021895,298,1,93900,1,7.165208635154543e-08,3.038857651243601e-10,1.8365462049378746e-05,4.7229752023831994e-08,2.5,0.01,650,1,0.007511287099989076,0.0007785654483966361,0.0005407512840947403,2.0481313898194048e-05,0.06775901003665137,0.0067738779275099414,0.33874604944136916,0.03676623061247087,0.024386233285038975,0.001200275716588256
125,1,227.3294868645142,3.0542183970812085,298,1,93900,1,7.16360749204323e-08,3.02228024246533e-10,1.8362973530547577e-05,4.698116809847719e-08,2.5,0.01,650,1,0.015037900579398553,0.0015726434314918647,0.0016344553468352948,6.98017617269235e-05,0.098852082902562,0.009629201647847448,0.3706875400112957,0.0399344927312488,0.04029039460034363,0.0020227249726964577
150,1,287.546248003566,3.766394223269885,298,1,93900,1,7.16440956633373e-08,3.095933758202668e-10,1.8364220143952315e-05,4.812399443539802e-08,2.5,0.01,650,1,0.023642578775383276,0.0024795662733225698,0.0035412793324776856,0.00015443825615977055,0.1312667895843035,0.012182224954358797,0.36423845493351853,0.03915934509859566,0.05455928315003823,0.0027535459556985464
250,1,543.0265783376705,7.808204137041937,298,1,93900,1,7.164405219129856e-08,3.106931761106594e-10,1.8364209795722026e-05,4.8297528384628286e-08,2.5,0.01,650,1,0.1339566049987554,0.01569006537177072,0.03743034480534334,0.002671705480712121,0.2198151832292244,0.02042129306423638,0.5787277713812138,0.06956923767278814,0.16170680338019883,0.012286377154763318
300,1,679.5886345255351,10.456662657789579,298,1,93900,1,7.163861175457574e-08,3.005490497990434e-10,1.8363369071770822e-05,4.67151783859644e-08,2.5,0.01,650,1,0.27545522120564514,0.03944619268132093,0.08919168784132435,0.009597079097332102,0.24642795306055149,0.02699904118178256,0.7599252187252685,0.11148412645266538,0.2460671689038688,0.02751066006509946
350,1,822.9173833134339,13.204827550031741,298,1,93900,1,7.164361547956211e-08,2.985394750240268e-10,1.8364146921551262e-05,4.640549201339256e-08,2.5,0.01,650,1,0.4979084080005403,0.0679504070426135,0.17859842087730343,0.020409623949820137,0.26560015098876555,0.02955685957561764,0.9369625489769648,0.13190730999746567,0.3361242287329359,0.0404910683798211
450,1,1124.760333594193,20.607017299306857,298,1,93900,1,7.164685464382141e-08,3.063788987037546e-10,1.8364645445830557e-05,4.762164074997257e-08,2.5,0.01,650,1,1.0067284030072023,0.17202838138704546,0.3998681180408337,0.07508799277507605,0.2854727538521694,0.041217540300053826,1.0143169640316643,0.17767011978773703,0.40289030330974,0.07730291454744431
