da_AVE,da_STD,dm_AVE,dm_STD,Temperature_AVE,Temperature_STD,Pressure_AVE,Pressure_STD,MeanFreePath_AVE,MeanFreePath_STD,Viscosity_AVE,Viscosity_STD,Dm_AVE,Dm_STD,rhoEff_AVE,rhoEff_STD,ABS_CRS_AVE_Tmatrix_MDL,ABS_CRS_STD_Tmatrix_MDL,SCA_CRS_AVE_Tmatrix_MDL,SCA_CRS_STD_Tmatrix_MDL,ABS_CRS_AVE_RDG_MDL,ABS_CRS_STD_RDG_MDL,SCA_CRS_AVE_RDG_MDL,SCA_CRS_STD_RDG_MDL,SSA_AVE_Tmatrix_MDL,SSA_STD_Tmatrix_MDL,SSA_AVE_RDG_MDL,SSA_STD_RDG_MDL,ABS_EFF_AVE_Tmatrix_MDL,ABS_EFF_STD_Tmatrix_MDL,SCA_EFF_AVE_Tmatrix_MDL,SCA_EFF_STD_Tmatrix_MDL,ABS_EFF_AVE_RDG_MDL,ABS_EFF_STD_RDG_MDL,SCA_EFF_AVE_RDG_MDL,SCA_EFF_STD_RDG_MDL
235.83715047340556,2.7504554516806445,571.806,0,298,1,93900,1,7.166873631211846e-08,3.025148116911672e-10,1.8368051259417088e-05,4.7014678666926443e-08,2.56,0.01,502,1,0.11074779620810914,0,0.02524959868741421,0,0.08886683154987686,0,0.02419487016462723,0,0.1856623702741629,0,0.2139970458407084,0,2.5362849772793292,0.05919429456399258,0.5782523898975013,0.013495818729582611,2.035179186905228,0.047498998479817554,0.5540975787044568,0.012932070167529276
246.46001569665927,2.9133911160232993,601.5840000000001,0,298,1,93900,1,7.166080254510337e-08,3.0570646447803465e-10,1.8366811611476248e-05,4.7515231612518856e-08,2.56,0.01,502,1,0.12576373935959564,0,0.029753952191602026,0,0.10120021921882626,0,0.02869103552264305,0,0.19132197690708902,0,0.22088504402970482,0,2.63727143047507,0.062420796552505424,0.62394175346732,0.014767892604357867,2.122173277151853,0.05022909088974479,0.6016523417633148,0.014240331118963051
257.5177654699648,3.134237196961283,632.913,0,298,1,93900,1,7.164205293133429e-08,3.079477250717069e-10,1.8363895891403045e-05,4.7865516680388385e-08,2.56,0.01,502,1,0.14090125056345437,0,0.03443565221959646,0,0.1136583615773787,0,0.03286222903191404,0,0.1963970600199585,0,0.22428403335844743,0,2.7064703605454246,0.06578146602795376,0.6614495734118145,0.01607670391551052,2.1831813813376906,0.053062791288201926,0.6312268237553832,0.015342132124598597
269.1450476441781,3.2192772404997516,665.873,0,298,1,93900,1,7.16508573264192e-08,3.0219237230028064e-10,1.8365269488551227e-05,4.697276017624091e-08,2.56,0.01,502,1,0.1587293856508691,0,0.04065078622937341,0,0.1283514232716582,0,0.0387751209631552,0,0.20388580191309222,0,0.23201054710181765,0,2.7911352003316874,0.06670464947251728,0.7148130757308296,0.017083140812860182,2.2569618979951955,0.05393857390380303,0.6818309323985532,0.016294908730956598
281.2152103758296,3.4840821556130197,700.549,0,298,1,93900,1,7.163521856653754e-08,3.0891668630951213e-10,1.8362840649712308e-05,4.801865307621324e-08,2.56,0.01,502,1,0.18022001375096883,0,0.04851746917581463,0,0.14616331548558192,0,0.0458005854690456,0,0.21210983243767087,0,0.23858957460898325,0,2.9029234088512452,0.07197248573620456,0.7815030865734461,0.01937588831303865,2.354349559781479,0.058371636534656844,0.7377404369800185,0.018290876333722294
293.7194657182231,3.879124399671133,737.0319999999999,0,298,1,93900,1,7.164746630240156e-08,3.0530612784096785e-10,1.8364742365113808e-05,4.744822863240189e-08,2.56,0.01,502,1,0.20119372740470085,0,0.05509328636711844,0,0.16351669977731967,0,0.051879657734830595,0,0.21496713999004957,0,0.24085670869296905,0,2.9708894782327624,0.07854752257596435,0.8135246903602641,0.021508827390034204,2.4145387092840056,0.06383813170015414,0.7660712452963083,0.020254202950189478
306.92361155752604,3.9669241538406443,775.414,0,298,1,93900,1,7.164259121920383e-08,3.0482207948041415e-10,1.836398379690797e-05,4.738594936477411e-08,2.56,0.01,502,1,0.226086329259991,0,0.06457761947902238,0,0.18410653250368889,0,0.06094563262769509,0,0.2221727866809051,0,0.2487047302561855,0,3.057322704840328,0.07896925844599662,0.8732709443511357,0.022556192314493004,2.4896378466371947,0.06430621610102329,0.824156272532677,0.02128758262334667
320.4452659481601,4.206402183156301,815.795,0,298,1,93900,1,7.164811706979408e-08,3.0187492306800856e-10,1.8364841075164033e-05,4.692106588228564e-08,2.56,0.01,502,1,0.2563985631213972,0,0.076027676707568,0,0.2096595696698369,0,0.0717737881734788,0,0.2287054016755253,0,0.2550294276538388,0,3.1808449443419713,0.0835308830828973,0.9431887922508875,0.024768699546562304,2.601007486541409,0.06830400602912035,0.8904156422272448,0.023382845189724732
334.61639301260226,4.4423841839812335,858.279,0,298,1,93900,1,7.164452222614682e-08,3.0745990695498594e-10,1.8364281373588816e-05,4.778777855088443e-08,2.56,0.01,502,1,0.28034834593561136,0,0.0860107125223964,0,0.2299260408472203,0,0.07998150778672834,0,0.2347716278243875,0,0.2580818316277915,0,3.1896499285853817,0.08458332363194591,0.9785827775764694,0.0259501154137967,2.615972558428059,0.06937051352840556,0.9099857883901408,0.0241310564366576
349.45390839642965,4.795807672945668,902.9760000000001,0,298,1,93900,1,7.165237574383482e-08,2.981412167267346e-10,1.8365502268415747e-05,4.6338930740958905e-08,2.56,0.01,502,1,0.31805585761965116,0,0.10085500934402197,0,0.2618362220627426,0,0.09403892154009864,0,0.24075529497488035,0,0.26424695073687593,0,3.3180213900448594,0.09112554238357706,1.0521393342700798,0.028895765345611734,2.731527071988873,0.07501816797119712,0.9810325629655033,0.026942901774052026
364.87924805588705,5.091056067642968,950.0,0,298,1,93900,1,7.164742515232438e-08,3.0734956201974193e-10,1.8364736597504843e-05,4.7774358558426385e-08,2.56,0.01,502,1,0.36068821653511934,0,0.1195073517732571,0,0.2981747735844196,0,0.11049133464719603,0,0.2488722505171283,0,0.2703706826223377,0,3.4514170518459615,0.09635924828425785,1.1435630353924024,0.03192684998677292,2.853227388090653,0.07965854087480538,1.0572889797896117,0.02951818623520662
