AA_FileName,AA_Plot,AGG_FRACTAL_DIMENSION_CENTER,AGG_FRACTAL_DIMENSION_STANDARD_DEVIATION,AGG_FRACTAL_PREFACTOR_CENTER,AGG_FRACTAL_PREFACTOR_STANDARD_DEVIATION,AGG_EFF_DM_CENTER,AGG_EFF_DM_STANDARD_DEVIATION,AGG_EFF_RHO_100NM_CENTER,AGG_EFF_RHO_100NM_STANDARD_DEVIATION,AGG_MATERIAL_DENSITY_CENTER,AGG_MATERIAL_DENSITY_STANDARD_DEVIATION,AGG_RI_REAL_CENTER,AGG_RI_REAL_STANDARD_DEVIATION,AGG_RI_IMAG_CENTER,AGG_RI_IMAG_STANDARD_DEVIATION,AGG_WLENGTH_CENTER,AGG_WLENGTH_STANDARD_DEVIATION,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_CENTER,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_STANDARD_DEVIATION,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_MOBILITY_DIAMETER_CENTER_MAX,AGG_MOBILITY_DIAMETER_CENTER_MIN,AGG_AERODYNAMIC_DIAMETER_CENTER,AGG_AERODYNAMIC_DIAMETER_STANDARD_DEVIATION,AGG_PRIMARY_DIAMETER_CENTER,AGG_PRIMARY_DIAMETER_STANDARD_DEVIATION,AGG_PRIMARY_NUMBER_CENTER,AGG_PRIMARY_NUMBER_STANDARD_DEVIATION,AGG_POLYDISPERSITY_SIGMA_WITHIN_CENTER,AGG_POLYDISPERSITY_SIGMA_WITHIN_STANDARD_DEVIATION,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_CENTER,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_STANDARD_DEVIATION,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_CENTER,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_STANDARD_DEVIATION,AIR_TEMPERATURE_CENTER,AIR_TEMPERATURE_STANDARD_DEVIATION,AIR_PRESSURE_CENTER,AIR_PRESSURE_STANDARD_DEVIATION,PAX_ABSORPTION_COEFFICIENT_CENTER,PAX_ABSORPTION_COEFFICIENT_STANDARD_DEVIATION,PAX_SCATTERING_COEFFICIENT_CENTER,PAX_SCATTERING_COEFFICIENT_STANDARD_DEVIATION,PAX_WAVE_LENGTH_CENTER,PAX_WAVE_LENGTH_STANDARD_DEVIATION,CPC_NUMBER_DENSITY_CENTER,CPC_NUMBER_DENSITY_STANDARD_DEVIATION,MONTECARLO_ARRAY_SIZE,MONTECARLO_RANDOM_SIZE,VERSION,MobilityBins,NumberOfSigma,PrimaryBins,FittedSigma,FittedMedian,dp100_nano,D_TEM,R2score,explainedVarianceScore
2019-11-14T003323+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,550,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.26,18.1,19.49910492,0,0.68,0.7
2019-11-14T012315+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,550,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.36,18.1,19.49910492,0,0.48,0.53
2019-11-14T020952+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,550,1,1800,-1,1.95,-1,0.95,-1,870,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.25,26.5,19.49910492,0.375,0.99,0.99
2019-11-14T024942+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,550,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.39,24.1,19.49910492,0.375,0.94,0.94
2019-11-14T035016+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,550,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.46,21.9,19.49910492,0.375,0.75,0.78
2019-11-14T044137+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,550,1,1800,-1,1.95,-1,0.95,-1,870,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.5,29.1,19.49910492,0.75,0.79,0.84
2019-11-14T051452+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,550,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.55,26.5,19.49910492,0.75,0.94,0.94
2019-11-14T061429+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,550,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.56,24.1,19.49910492,0.75,0.86,0.86
2019-11-14T070353+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1,24.1,24.02719152,0,1,1
2019-11-14T070751+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.3,21.9,24.02719152,0,0.75,0.76
2019-11-14T080626+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.4,19.9,24.02719152,0,0.62,0.65
2019-11-14T085557+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.25,35.2,24.02719152,0.375,0.9,0.9
2019-11-14T094008+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.44,29.1,24.02719152,0.375,0.95,0.96
2019-11-14T104949+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.5,24.1,24.02719152,0.375,0.83,0.83
2019-11-14T114305+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.53,38.7,24.02719152,0.75,0.95,0.95
2019-11-14T121549+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.58,32,24.02719152,0.75,0.95,0.96
2019-11-14T131826+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,650,1,1800,-1,1.95,-1,0.95,-1,870,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.6,26.5,24.02719152,0.75,0.87,0.87
