dm,ABS_TMatrix,SCA_TMatrix,ABS_RDG,SCA_RDG,NumberOfCalcs,dp_median,Np_Ave,dp_Ave,D_TEM,dp_100nm,RealErrorABS,RealErrorSCA,AbsoluteErrorABS,AbsoluteErrorSCA,RealPercentErrorABS,AbsolutePercentErrorABS,RatioABS,RealPercentErrorSCA,AbsolutePercentErrorSCA,RatioSCA,SSA_TMatrix,SSA_RDG,MAC_TMatrix,MSC_TMatrix,MAC_RDG,MSC_RDG,Agg_Mass_gr
50.0,0.0,0.0,0.0,0.0,0.0,9.022,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.163,0.0,0.0,0.0,0.0,0.0,9.447,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.526,0.0,0.0,0.0,0.0,0.0,9.892,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.102,0.0,0.0,0.0,0.0,0.0,10.357,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.905,0.0,0.0,0.0,0.0,0.0,10.845,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.948,0.0,0.0,0.0,0.0,0.0,11.356,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.246,0.0,0.0,0.0,0.0,0.0,11.89,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.817,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.676,0.0,0.0,0.0,0.0,0.0,13.036,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.843,0.0,0.0,0.0,0.0,0.0,13.65,0.0,0.0,0.7499999999999997,15.173192108690529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.337,0.0007891687428976090068648510347,0.000007466599151829119904009816883,0.0006682300296462718985246666517,0.000005816201844057777055247425721,1.0,14.293,68.491,14.293000,0.7499999999999997,15.173192108690529,0.0001209387132513371083401843830,0.000001650397307771342848762391162,0.0001209387132513371083401843830,0.000001650397307771342848762391162,18.09836551574255246761163019,18.09836551574255246761163019,1.180983655157425524676116302,28.37586026106538458541197585,28.37586026106538458541197585,1.283758602610653845854119758,0.009372668720195635909482720685,0.008628787718608022856127218598,4.186923827314526942424402481,0.03961393831060018281247231691,3.545285160408429671213913874,0.03085777826924875541191651624,1.884841414475357414138762232E-16
98.179,0.0009254258962885262724489990885,0.00001149370460318997717888567616,0.0007934226199073288332011928097,0.000008077968160562106970124392451,1.0,14.965,70.852,14.965000,0.7499999999999997,15.173192108690529,0.0001320032763811974392478062788,0.000003415736442627870208761283709,0.0001320032763811974392478062788,0.000003415736442627870208761283709,16.63719599985885490679355170,16.63719599985885490679355170,1.166371959998588549067935517,42.28459898250187619694075067,42.28459898250187619694075067,1.422845989825018761969407507,0.01226754632121134703682017028,0.01007855550054551471099302177,4.135121201299490520091835450,0.05135782538260236940006568221,3.545285160408429671213913877,0.03609514012751186212814601672,2.237965590942545445770351456E-16
104.39,0.001114577884041301244024441207,0.00001776119982887200256130227098,0.0009421127843159888188532488332,0.00001120072049384335457104434262,1.0,15.67,73.278,15.670000,0.7499999999999997,15.173192108690529,0.0001724650997253124251711923738,0.00000656047933502864799025792836,0.0001724650997253124251711923738,0.00000656047933502864799025792836,18.30620522260813133297012859,18.30620522260813133297012859,1.183062052226081313329701286,58.57194042682088784553125228,58.57194042682088784553125228,1.585719404268208878455312523,0.01568540738536265880417486942,0.01174925188548302823633782000,4.194292337599468690117456750,0.06683755833975471254376221715,3.545285160408429671213913873,0.04214967550996165734500909728,2.657368143011249394558736957E-16
110.994,0.001302568783859478753853737005,0.00002502038280304087806747018473,0.001118682590936100365408795431,0.00001550117563304414971721913437,1.0,16.408,75.791,16.408000,0.7499999999999997,15.173192108690529,0.000183886192923378388444941574,0.00000951920716999672835025105036,0.000183886192923378388444941574,0.00000951920716999672835025105036,16.43774511316070417933989731,16.43774511316070417933989731,1.164377451131607041793398973,61.40958205585680943447405487,61.40958205585680943447405487,1.614095820558568094344740549,0.01884648009439594584061303236,0.01366725224778566268382669719,4.128050098611077951756214496,0.07929361963622970863594391717,3.545285160408429671213913872,0.04912572018728705259122598895,3.155409340351127313737163678E-16
118.016,0.001581554570902946602573108396,0.00004100624450902959090777882288,0.001328284860534498786131263956,0.00002140581865804007554697256400,1.0,17.18,78.397,17.180000,0.7499999999999997,15.173192108690529,0.000253269710368447816441844440,0.00001960042585098951536080625888,0.000253269710368447816441844440,0.00001960042585098951536080625888,19.06742430735321826769477175,19.06742430735321826769477175,1.190674243073532182676947718,91.56587825071361881410671427,91.56587825071361881410671427,1.915658782507136188141067143,0.02527254702537476426404282926,0.01585979586881806457518044079,4.221279724849133125648390330,0.1094485335648876953054182468,3.545285160408429671213913870,0.05713362659588359076512549231,3.746623474376531017186414799E-16
125.482,0.001845382274027927127503944694,0.00004856531156752829826786919644,0.001577189534636771180060199225,0.00002949347238667860292101542871,1.0,17.989,81.085,17.989000,0.7499999999999997,15.173192108690529,0.000268192739391155947443745469,0.00001907183918084969534685376773,0.000268192739391155947443745469,0.00001907183918084969534685376773,17.00447114955788033029831339,17.00447114955788033029831339,1.170044711495578803302983134,64.66461097155831994863946359,64.66461097155831994863946359,1.646646109715583199486394636,0.02564237359940423471562758586,0.01835674632628273089305343559,4.148142152679637913782343047,0.1091675252908793357877635773,3.545285160408429671213913868,0.06629689563942508978417545738,4.448695840463995968423193398E-16
133.42,0.002255000483277157090359216393,0.00007878494171119960988655252987,0.001872748482119732979704364989,0.00004053701597404872590150952446,1.0,18.836,83.867,18.836000,0.7499999999999997,15.173192108690529,0.000382252001157424110654851404,0.00003824792573715088398504300541,0.000382252001157424110654851404,0.00003824792573715088398504300541,20.41128345888495413948621605,20.41128345888495413948621605,1.204112834588849541394862161,94.35308647690474325256280731,94.35308647690474325256280731,1.943530864769047432525628073,0.03375843420206151534055476360,0.02118712341385329484730992498,4.268923363925178389715588198,0.1491471424909163315949587700,3.545285160408429671213913874,0.07674030044726853412333646178,5.282363469752558866621669154E-16
141.861,0.002652019273250372037047495628,0.00009022199712760396623824726356,0.002223697268117728081508580316,0.00005556793558114338200024624524,1.0,19.723,86.743,19.723000,0.7499999999999997,15.173192108690529,0.000428322005132643955538915312,0.00003465406154646058423800101832,0.000428322005132643955538915312,0.00003465406154646058423800101832,19.26170487654561079048434150,19.26170487654561079048434150,1.192617048765456107904843415,62.36341369179857552503643144,62.36341369179857552503643144,1.623634136917985755250364314,0.03290082389984898896798176108,0.02437975865685387923141947380,4.228167525038268049097783577,0.1438427398121766180483806656,3.545285160408429671213913873,0.08859307435184981709422875259,6.272266312878341539993582430E-16
150.835,0.003195484509864134015949049984,0.0001301200413073091317865051593,0.002640424238624511550634425463,0.00007595646340362334770767648573,1.0,20.652,89.715,20.652000,0.7499999999999997,15.173192108690529,0.000555060271239622465314624521,0.00005416357790368578407882867357,0.000555060271239622465314624521,0.00005416357790368578407882867357,21.02163217259255988790470506,21.02163217259255988790470506,1.210216321725925598879047051,71.30871485665039717172596768,71.30871485665039717172596768,1.713087148566503971717259677,0.03912673299099088270459883973,0.02796237778707228831256575362,4.290561966298997867350230153,0.1747115651986472787592595395,3.545285160408429671213913877,0.1019863848402834358816601494,7.447706232805050665764180918E-16
160.377,0.003829086448724649650301347903,0.0001371467187113089028993940159,0.003135193388441809878994981046,0.0001035074992463889647931626449,1.0,21.624,92.797,21.624000,0.7499999999999997,15.173192108690529,0.000693893060282839771306366857,0.0000336392194649199381062313710,0.000693893060282839771306366857,0.0000336392194649199381062313710,22.13238465100567217262372393,22.13238465100567217262372393,1.221323846510056721726237239,32.49930653318677246192163031,32.49930653318677246192163031,1.324993065331867724619216303,0.03457858197478839103508813343,0.03195957355613446102837615242,4.329941309085046783370093542,0.1550858803282836257483075880,3.545285160408429671213913870,0.1170465600055345574240905697,8.843275636763233632008486485E-16
170.523,0.004433169132307348316291575544,0.0001730416556836589916143520377,0.003722686407957556763854773577,0.0001406019262817688573995528962,1.0,22.642,95.982,22.642000,0.7499999999999997,15.173192108690529,0.000710482724349791552436801967,0.0000324397294018901342147991415,0.000710482724349791552436801967,0.0000324397294018901342147991415,19.08521552691289530535484810,19.08521552691289530535484810,1.190852155269128953053548481,23.07203767385115142903118518,23.07203767385115142903118518,1.230720376738511514290311852,0.03756702931068659994242365877,0.03639436514112869561239315666,4.221910474316038037628033177,0.1647955123795578321663762375,3.545285160408429671213913881,0.1339016688878399685405205355,1.050038639918231521718006167E-15
